voyageid,departure,purchase,arrival,year,embarked,disembarked
90898.0,Liverpool,"Windward Coast, port unspecified",NA,1761.0,148.0,131.0
90915.0,Liverpool,"Windward Coast, port unspecified",NA,1762.0,148.0,131.0
90918.0,Liverpool,"Windward Coast, port unspecified","St. Kitts, port unspecified",1763.0,290.0,248.0
90927.0,Liverpool,"Windward Coast, port unspecified",Kingston,1762.0,331.0,270.0
90933.0,Liverpool,"Windward Coast, port unspecified",Basse-Terre,1762.0,319.0,260.0
90936.0,Liverpool,"Windward Coast, port unspecified",Kingston,1762.0,310.0,265.0
90937.0,Liverpool,"Windward Coast, port unspecified",Kingston,1763.0,304.0,260.0
90938.0,Liverpool,"Windward Coast, port unspecified",Kingston,1762.0,167.0,136.0
90939.0,Liverpool,"Windward Coast, port unspecified",Basse-Terre,1761.0,148.0,131.0
90941.0,Liverpool,"Windward Coast, port unspecified",Kingston,1762.0,147.0,130.0
90944.0,Liverpool,"Windward Coast, port unspecified","Martinique, port unspecified",1761.0,230.0,197.0
90945.0,Liverpool,"Windward Coast, port unspecified",NA,1761.0,190.0,163.0
90946.0,Liverpool,"Windward Coast, port unspecified",Rappahannock,1762.0,217.0,186.0
90950.0,Liverpool,"Windward Coast, port unspecified","St. Kitts, port unspecified",1761.0,102.0,92.0
90960.0,Liverpool,"Windward Coast, port unspecified","Puerto Rico, port unspecified",1761.0,138.0,124.0
90961.0,Liverpool,"Windward Coast, port unspecified",Charleston,1762.0,175.0,150.0
90962.0,Liverpool,"Windward Coast, port unspecified","Barbados, port unspecified",1763.0,79.0,70.0
90982.0,Liverpool,"Windward Coast, port unspecified",NA,1762.0,83.0,65.0
90985.0,Liverpool,"Windward Coast, port unspecified",Kingston,1763.0,352.0,287.0
90986.0,Liverpool,"Windward Coast, port unspecified",Basse-Terre,1762.0,148.0,131.0
90993.0,Liverpool,"Windward Coast, port unspecified",West Indies (colony unspecified),1763.0,277.0,237.0
90994.0,Liverpool,"Windward Coast, port unspecified","Grenada, port unspecified",1764.0,199.0,170.0
90995.0,Liverpool,"Windward Coast, port unspecified","Tortola, port unspecified",1762.0,148.0,131.0
90996.0,Liverpool,"Windward Coast, port unspecified","Barbados, port unspecified",1763.0,103.0,91.0
90997.0,Liverpool,"Windward Coast, port unspecified",Basse-Terre,1762.0,102.0,92.0
91001.0,Liverpool,"Windward Coast, port unspecified","Barbados, port unspecified",1764.0,169.0,150.0
91010.0,Liverpool,"Windward Coast, port unspecified",Upper James River,1763.0,199.0,170.0
